iter	R2	RMSE
153	0.9822000627	0.5899895451
154	0.9826422799	0.5826146757
155	0.9830735107	0.5753319921
156	0.9834940282	0.5681403421
157	0.9839040985	0.5610385877
158	0.984303981	0.5540256053
159	0.984693929	0.5471002851
160	0.9850741892	0.5402615314
161	0.9854450023	0.5335082622
162	0.985806603	0.5268394088
163	0.9861592203	0.5202539161
164	0.9865030771	0.5137507421
165	0.9868383913	0.5073288577
166	0.987165375	0.5009872469
167	0.9874842353	0.4947249062
168	0.9877951738	0.4885408448
169	0.9880983874	0.4824340841
170	0.9883940681	0.476403658
171	0.988682403	0.4704486122
172	0.9889635746	0.4645680044
173	0.9892377608	0.4587609043
174	0.9895051351	0.4530263929
175	0.989765867	0.4473635629
176	0.9900201212	0.4417715183
177	0.9902680588	0.4362493742
178	0.9905098367	0.430796257
179	0.990745608	0.4254113037
180	0.9909755218	0.4200936623
181	0.9911997237	0.4148424914
182	0.9914183555	0.4096569602
183	0.9916315558	0.4045362481
184	0.9918394593	0.399479545
185	0.9920421977	0.3944860506
186	0.9922398994	0.3895549749
187	0.9924326894	0.3846855376
188	0.9926206898	0.3798769683
189	0.9928040195	0.3751285062
190	0.9929827947	0.3704393998
191	0.9931571284	0.3658089072
192	0.993327131	0.3612362958
193	0.99349291	0.356720842
194	0.9936545706	0.3522618314
195	0.9938122148	0.3478585585
196	0.9939659426	0.3435103264
197	0.9941158512	0.3392164473
198	0.9942620356	0.3349762416
199	0.9944045881	0.3307890385
200	0.9945435991	0.3266541755
201	0.9946791566	0.3225709982
202	0.9948113463	0.3185388607
203	0.9949402519	0.3145571249
204	0.995065955	0.3106251608
205	0.9951885352	0.3067423462
206	0.99530807	0.3029080668
207	0.9954246352	0.2991217159
208	0.9955383044	0.2953826944
209	0.9956491497	0.2916904107
210	0.9957572411	0.2880442805
211	0.9958626471	0.2844437269
212	0.9959654345	0.2808881803
213	0.9960656682	0.277377078
214	0.9961634118	0.2739098645
215	0.996258727	0.2704859911
216	0.9963516743	0.2671049162
217	0.9964423124	0.2637661047
218	0.9965306987	0.2604690283
219	0.9966168891	0.2572131654
220	0.9967009383	0.2539980008
221	0.9967828994	0.2508230257
222	0.9968628242	0.2476877379
223	0.9969407634	0.2445916411
224	0.9970167663	0.2415342455
225	0.997090881	0.2385150674
226	0.9971631545	0.235533629
227	0.9972336324	0.2325894586
228	0.9973023593	0.2296820903
229	0.9973693788	0.2268110642
230	0.9974347333	0.2239759258
231	0.9974984642	0.2211762267
232	0.9975606117	0.2184115238
233	0.9976212152	0.2156813798
234	0.9976803132	0.2129853625
235	0.9977379429	0.2103230454
236	0.9977941409	0.2076940073
237	0.9978489427	0.2050978322
238	0.997902383	0.2025341092
239	0.9979544957	0.2000024328
240	0.9980053137	0.1975024024
241	0.9980548692	0.1950336223
242	0.9981031935	0.192595702
243	0.9981503173	0.1901882557
244	0.9981962704	0.1878109024
245	0.9982410818	0.1854632661
246	0.9982847799	0.1831449753
247	0.9983273924	0.180855663
248	0.9983689462	0.1785949672
249	0.9984094677	0.1763625301
250	0.9984489825	0.1741579984
251	0.9984875156	0.1719810234
252	0.9985250914	0.1698312606
253	0.9985617337	0.1677083698
254	0.9985974656	0.1656120152
255	0.9986323098	0.1635418649
256	0.9986662884	0.1614975916
257	0.9986994228	0.1594788717
258	0.998731734	0.1574853857
259	0.9987632425	0.1555168184
260	0.9987939682	0.1535728581
261	0.9988239305	0.1516531974
262	0.9988531485	0.1497575324
263	0.9988816406	0.1478855632
264	0.9989094248	0.1460369936
265	0.9989365188	0.1442115312
266	0.9989629397	0.142408887
267	0.9989887041	0.1406287759
268	0.9990138285	0.1388709162
269	0.9990383287	0.1371350297
270	0.9990622202	0.1354208418
271	0.9990855182	0.1337280813
272	0.9991082374	0.1320564802
273	0.9991303921	0.1304057742
274	0.9991519964	0.128775702
275	0.999173064	0.1271660057
276	0.9991936082	0.1255764306
277	0.999213642	0.1240067252
278	0.9992331781	0.1224566411
279	0.9992522288	0.1209259331
280	0.9992708062	0.1194143589
281	0.9992889221	0.1179216794
282	0.999306588	0.1164476584
283	0.9993238149	0.1149920626
284	0.9993406139	0.1135546618
285	0.9993569955	0.1121352285
286	0.9993729702	0.1107335381
287	0.999388548	0.1093493689
288	0.9994037387	0.1079825018
289	0.9994185521	0.1066327205
290	0.9994329974	0.1052998114
291	0.9994470839	0.1039835638
292	0.9994608204	0.1026837692
293	0.9994742157	0.1014002221
294	0.9994872781	0.1001327193
295	0.999500016	0.09888106027
296	0.9995124375	0.09764504699
297	0.9995245504	0.09642448389
298	0.9995363623	0.09521917782
299	0.9995478808	0.09402893808
300	0.9995591132	0.09285357634
301	0.9995700665	0.09169290662
302	0.9995807476	0.09054674527
303	0.9995911634	0.08941491093
304	0.9996013205	0.08829722453
305	0.9996112252	0.08719350921
306	0.9996208838	0.08610359033
307	0.9996303025	0.08502729543
308	0.9996394871	0.08396445422
309	0.9996484436	0.08291489853
310	0.9996571776	0.08187846228
311	0.9996656946	0.08085498149
312	0.999674	0.07984429421
313	0.9996820991	0.07884624051
314	0.9996899969	0.07786066249
315	0.9996976985	0.0768874042
316	0.9997052088	0.07592631163
317	0.9997125326	0.07497723272
318	0.9997196743	0.0740400173
319	0.9997266387	0.07311451707
320	0.99973343	0.07220058559
321	0.9997400526	0.07129807826
322	0.9997465107	0.07040685226
323	0.9997528083	0.0695267666
324	0.9997589495	0.068657682
325	0.9997649381	0.06779946097
326	0.9997707779	0.06695196769
327	0.9997764726	0.06611506808
328	0.9997820259	0.06528862972
329	0.9997874412	0.06447252183
330	0.9997927219	0.0636666153
331	0.9997978715	0.0628707826
332	0.9998028931	0.0620848978
333	0.99980779	0.06130883657
334	0.9998125652	0.0605424761
335	0.9998172218	0.05978569514
336	0.9998217627	0.05903837394
337	0.9998261908	0.05830039425
338	0.9998305088	0.05757163931
339	0.9998347196	0.05685199381
340	0.9998388258	0.05614134388
341	0.99984283	0.05543957707
342	0.9998467347	0.05474658235
343	0.9998505424	0.05406225006
344	0.9998542555	0.05338647192
345	0.9998578763	0.05271914101
346	0.9998614072	0.05206015174
347	0.9998648504	0.05140939983
348	0.999868208	0.05076678232
349	0.9998714822	0.05013219754
350	0.9998746751	0.04950554506
351	0.9998777886	0.04888672573
352	0.9998808248	0.04827564165
353	0.9998837855	0.04767219612
354	0.9998866727	0.04707629366
355	0.9998894882	0.04648783998
356	0.9998922337	0.04590674198
357	0.9998949111	0.04533290769
358	0.9998975219	0.04476624634
359	0.9999000678	0.04420666825
360	0.9999025505	0.04365408489
361	0.9999049715	0.04310840882
362	0.9999073324	0.0425695537
363	0.9999096346	0.04203743427
364	0.9999118796	0.04151196634
365	0.9999140688	0.04099306675
366	0.9999162037	0.04048065341
367	0.9999182855	0.03997464523
368	0.9999203156	0.03947496216
369	0.9999222953	0.03898152513
370	0.9999242257	0.03849425605
371	0.9999261083	0.03801307785
372	0.999927944	0.03753791437
373	0.9999297341	0.03706869043
374	0.9999314798	0.03660533179
375	0.9999331821	0.03614776514
376	0.9999348421	0.03569591807
377	0.9999364609	0.03524971908
378	0.9999380394	0.03480909759
379	0.9999395788	0.03437398386
380	0.9999410799	0.03394430906
381	0.9999425437	0.03352000519
382	0.9999439711	0.03310100512
383	0.9999453631	0.03268724255
384	0.9999467204	0.03227865201
385	0.9999480441	0.03187516885
386	0.9999493349	0.03147672924
387	0.9999505936	0.03108327012
388	0.999951821	0.03069472923
389	0.999953018	0.03031104511
390	0.9999541852	0.02993215704
391	0.9999553234	0.02955800507
392	0.9999564333	0.02918853
393	0.9999575157	0.02882367337
394	0.9999585712	0.02846337745
395	0.9999596004	0.02810758523
396	0.9999606041	0.02775624041
397	0.9999615828	0.0274092874
398	0.9999625373	0.0270666713
399	0.999963468	0.0267283379
400	0.9999643756	0.02639423367
401	0.9999652606	0.02606430575
402	0.9999661237	0.02573850192
403	0.9999669653	0.02541677064
404	0.999967786	0.02509906101
405	0.9999685863	0.02478532274
406	0.9999693667	0.0244755062
407	0.9999701278	0.02416956237
408	0.9999708699	0.02386744283
409	0.9999715936	0.02356909979
410	0.9999722993	0.02327448604
411	0.9999729875	0.02298355496
412	0.9999736586	0.02269626052
413	0.999974313	0.02241255726
414	0.9999749512	0.02213240029
415	0.9999755735	0.02185574528
416	0.9999761804	0.02158254846
417	0.9999767721	0.0213127666
418	0.9999773492	0.02104635702
419	0.9999779119	0.02078327755
420	0.9999784607	0.02052348658
421	0.9999789958	0.02026694299
422	0.9999795176	0.0200136062
423	0.9999800265	0.01976343612
424	0.9999805227	0.01951639316
425	0.9999810066	0.01927243824
426	0.9999814784	0.01903153276
427	0.9999819386	0.0187936386
428	0.9999823873	0.01855871811
429	0.9999828249	0.01832673413
430	0.9999832516	0.01809764995
431	0.9999836677	0.01787142933
432	0.9999840734	0.01764803646
433	0.9999844691	0.017427436
434	0.9999848549	0.01720959304
435	0.9999852312	0.01699447313
436	0.9999855981	0.01678204221
437	0.9999859559	0.01657226668
438	0.9999863048	0.01636511334
439	0.9999866451	0.01616054942
440	0.9999869768	0.01595854255
441	0.9999873004	0.01575906077
442	0.9999876159	0.0155620725
443	0.9999879236	0.0153675466
444	0.9999882236	0.01517545226
445	0.9999885162	0.0149857591
446	0.9999888015	0.01479843711
447	0.9999890797	0.01461345665
448	0.999989351	0.01443078844
449	0.9999896155	0.01425040358
450	0.9999898735	0.01407227353
451	0.9999901251	0.01389637011
452	0.9999903704	0.01372266548
453	0.9999906097	0.01355113216
454	0.999990843	0.013381743
455	0.9999910705	0.01321447121
456	0.9999912923	0.01304929032
457	0.9999915086	0.01288617419
458	0.9999917196	0.01272509701
459	0.9999919253	0.01256603329
460	0.9999921259	0.01240895788
461	0.9999923215	0.0122538459
462	0.9999925123	0.01210067282
463	0.9999926983	0.01194941441
464	0.9999928797	0.01180004673
465	0.9999930566	0.01165254614
466	0.9999932291	0.01150688931
467	0.9999933973	0.0113630532
468	0.9999935614	0.01122101503
469	0.9999937213	0.01108075234
470	0.9999938773	0.01094224293
471	0.9999940294	0.01080546489
472	0.9999941777	0.01067039658
473	0.9999943224	0.01053701662
474	0.9999944634	0.01040530391
475	0.999994601	0.01027523761
476	0.9999947351	0.01014679714
477	0.9999948659	0.01001996217
478	0.9999949935	0.009894712643
479	0.9999951179	0.009771028733
480	0.9999952391	0.009648890872
481	0.9999953574	0.009528279735
482	0.9999954728	0.009409176236
483	0.9999955852	0.009291561532
484	0.9999956949	0.009175417011
485	0.9999958019	0.009060724296
486	0.9999959062	0.008947465241
487	0.9999960079	0.008835621924
488	0.9999961071	0.008725176648
489	0.9999962038	0.008616111938
490	0.9999962981	0.008508410538
491	0.9999963901	0.008402055404
492	0.9999964797	0.00829702971
493	0.9999965672	0.008193316837
494	0.9999966525	0.008090900375
495	0.9999967356	0.007989764119
496	0.9999968167	0.007889892066
497	0.9999968958	0.007791268414
498	0.9999969729	0.007693877557
499	0.9999970481	0.007597704086
